arrival_rate_rps,trial,policy,n_requests,mean_latency_s,p50_latency_s,p90_latency_s,mean_wait_s,p90_wait_s,mean_batch_size,mean_hetero_penalty,throughput_rps
0.2,7,fifo_mixed_window,300,4.949605800322939,4.478200000000015,9.91028352653392,1.3302776425217762,4.059515774174808,1.5533333333333332,1.0276663177513947,0.19488966412114722
0.2,7,lane_split_window,300,4.948740928688995,4.478199999999994,9.880661761183275,1.6722691688907871,5.3384384994665455,1.4,1.01715932761073,0.19488966412114722
0.2,7,length_similarity_window,300,5.074166652188506,4.5195399406901515,9.966358952606365,1.9189644417466643,5.485213689506862,1.24,1.0030331564695663,0.19488966412114722
0.2,7,full_rules_continuous,300,5.08474103746333,4.5195399406901515,9.966358952606365,1.9424984037410673,5.527921375480222,1.2333333333333334,1.002937918374328,0.19488966412114722
0.2,8,fifo_mixed_window,300,5.43542677381495,5.524599999999964,10.630698084178869,1.5421953226297176,4.983907577782421,1.68,1.0393967662649186,0.19313731008372462
0.2,8,lane_split_window,300,5.223489925627092,4.7707000000000335,10.531680555520145,1.9469446226733857,5.960580072714693,1.4533333333333334,1.019619722119438,0.19287437186906436
0.2,8,length_similarity_window,300,5.553543461608044,5.436157892105939,11.089368111748241,2.2938536327601144,6.61072383236616,1.28,1.0045484688738229,0.19259528750173052
0.2,8,full_rules_continuous,300,5.56791618109721,5.3684226608008885,11.336086521612746,2.3802006533394082,6.816776552229655,1.2666666666666666,1.0039582815812456,0.19259528750173052
0.2,9,fifo_mixed_window,300,4.348478920735899,4.033126421944019,8.801213096175658,1.0381937687175853,3.749043984039881,1.3466666666666667,1.0221826852910356,0.1820300244916165
0.2,9,lane_split_window,300,4.5550779515566955,4.041700000000006,9.332735950588111,1.5455544262604837,5.482785386270774,1.34,1.0132214808871054,0.1820300244916165
0.2,9,length_similarity_window,300,4.537695065299318,4.041700000000006,9.221260852650506,1.592712291546904,5.4931969105909815,1.1266666666666667,1.0024294926608817,0.1820300244916165
0.2,9,full_rules_continuous,300,4.682156881662437,4.206594312118398,9.958700000000022,1.749495905494626,6.042407812245489,1.1266666666666667,1.0020657186516204,0.1820300244916165
0.2,10,fifo_mixed_window,300,4.8811419725178045,4.7707000000000335,9.959445194666865,1.3967848396602438,4.631027523719355,1.4466666666666668,1.027381463814698,0.18055518361588024
0.2,10,lane_split_window,300,4.869148058441493,4.569621928705203,9.999119252419847,1.7133392401708882,5.533819573888061,1.32,1.0172495360384082,0.18055518361588024
0.2,10,length_similarity_window,300,4.910206246409224,4.611820810981271,10.214552158455767,1.8842950804512828,5.741236060215227,1.1333333333333333,1.0028404814499645,0.18055518361588024
0.2,10,full_rules_continuous,300,5.060936939682516,4.7707000000000335,10.389383826953521,2.0525343101214233,6.312873896464111,1.12,1.0023373751686822,0.18055518361588024
0.2,11,fifo_mixed_window,300,5.2056507855683485,5.0710695357441296,10.098329366476907,1.459492368316255,4.915495859447583,1.6,1.0342296002341065,0.20983709599521164
