regime,rescue_alpha,window_size,cooling_tokens,speedup_mean,speedup_std,ttft_s_mean,ttft_s_std,tpot_s_mean,tpot_s_std,p99_latency_s_mean,p99_latency_s_std,accepted_block_mean_mean,accepted_block_mean_std,rouge_l_mean,rouge_l_std,bleu_mean,bleu_std,bertscore_mean,bertscore_std
det,0.4,5,20,2.2188514180234953,0.034678764656114136,0.04939366585086604,0.0005170598314703074,0.0031611335817915316,2.7818457878993296e-05,0.41490303976794507,0.004794845746570662,7.538416644260453,0.09889471655516834,0.9115691138301816,0.006466248193345541,0.7462587483068385,0.026566311394239896,0.9115691138301816,0.006466248193345541
det,0.4,5,50,2.2188514180234953,0.034678764656114136,0.04939366585086604,0.0005170598314703074,0.0031611335817915316,2.7818457878993296e-05,0.41490303976794507,0.004794845746570662,7.538416644260453,0.09889471655516834,0.9115691138301816,0.006466248193345541,0.7462587483068385,0.026566311394239896,0.9115691138301816,0.006466248193345541
det,0.4,10,10,2.2099614704722983,0.045748352647815724,0.04936583191073577,0.00016179229498182473,0.0031727965447355642,2.721440727363861e-05,0.4193900385115086,0.0061983114953481945,7.674314943999929,0.05867396967253884,0.9059536336670375,0.008428205395779825,0.7345540878856692,0.021685243728956336,0.9059536336670375,0.008428205395779825
det,0.4,10,20,2.2099614704722983,0.045748352647815724,0.04936583191073577,0.00016179229498182473,0.0031727965447355642,2.721440727363861e-05,0.4193900385115086,0.0061983114953481945,7.674314943999929,0.05867396967253884,0.9059536336670375,0.008428205395779825,0.7345540878856692,0.021685243728956336,0.9059536336670375,0.008428205395779825
det,0.4,10,50,2.2099614704722983,0.045748352647815724,0.04936583191073577,0.00016179229498182473,0.0031727965447355642,2.721440727363861e-05,0.4193900385115086,0.0061983114953481945,7.674314943999929,0.05867396967253884,0.9059536336670375,0.008428205395779825,0.7345540878856692,0.021685243728956336,0.9059536336670375,0.008428205395779825
det,0.4,20,10,2.204761399709702,0.014804060465419235,0.049490887881969294,0.0002013893312760488,0.003180076889742258,1.3881471547886157e-05,0.41970631689307325,0.00315274269975556,7.683880888549988,0.061709574104942704,0.9058484427141268,0.01210268102396787,0.7331777139001274,0.028174278880626857,0.9058484427141268,0.01210268102396787
det,0.4,20,20,2.204761399709702,0.014804060465419235,0.049490887881969294,0.0002013893312760488,0.003180076889742258,1.3881471547886157e-05,0.41970631689307325,0.00315274269975556,7.683880888549988,0.061709574104942704,0.9058484427141268,0.01210268102396787,0.7331777139001274,0.028174278880626857,0.9058484427141268,0.01210268102396787
det,0.4,20,50,2.204761399709702,0.014804060465419235,0.049490887881969294,0.0002013893312760488,0.003180076889742258,1.3881471547886157e-05,0.41970631689307325,0.00315274269975556,7.683880888549988,0.061709574104942704,0.9058484427141268,0.01210268102396787,0.7331777139001274,0.028174278880626857,0.9058484427141268,0.01210268102396787
det,0.6,5,10,2.3223367765880223,0.029630476363920872,0.04925741900985169,0.0006297191692089999,0.0029506035331604012,2.386782701204914e-05,0.39833495930514085,0.006820327449596103,5.212843346054408,0.04645451813404247,0.9057356692621431,0.013181960775979447,0.7372197490992728,0.028313336984073526,0.9057356692621431,0.013181960775979447
det,0.6,5,20,2.3456083973016106,0.026448680675529905,0.04933888236335474,0.0004236066146340286,0.0029499395404024103,1.3605520998984326e-05,0.4006184126409182,0.005438435528542425,5.126951103664637,0.08161342853181534,0.9081696514645904,0.0063969026212327175,0.7392419339814857,0.012803612936961523,0.9081696514645904,0.0063969026212327175
