arrival_rate_rps,trial,policy,n_requests,mean_latency_s,p50_latency_s,p90_latency_s,mean_wait_s,p90_wait_s,mean_batch_size,mean_hetero_penalty,throughput_rps
0.35,0,fifo_mixed_window,300,4.882445266160589,4.840397326911223,9.404312338124306,1.5286121360389875,4.1870306651771445,2.2066666666666666,1.0561750746252883,27.219322987826793
0.35,0,lane_split_window,300,5.028838757948559,4.303671956732671,9.754034503721611,2.2426737113276833,5.9159684731959175,2.02,1.0354943175539915,20.825971185356188
0.35,0,length_similarity_window,300,5.333376051586564,4.912504756169177,10.342815873324628,2.7044135567291803,7.065464339647571,1.6266666666666667,1.0079980146794265,20.90498738004
0.35,0,full_rules_continuous,300,5.309962944744502,4.889333365265081,10.321910837220518,2.75245542669789,7.2468662143007805,1.5733333333333333,1.006966715880673,20.066432437452836
0.35,1,fifo_mixed_window,300,5.392893654924768,5.6156120058346914,9.356389393327346,1.7094480620223111,4.823956311220435,2.2533333333333334,1.0542842945008581,42.36538332618357
0.35,1,lane_split_window,300,5.54540013002579,5.468837192460757,10.205279829098329,2.4874380273327037,6.542823944248051,1.96,1.03377425200369,40.727929336854835
0.35,1,length_similarity_window,300,5.815581296333232,5.7182957413940585,10.514339251755889,2.859449791048381,7.579947580954653,1.5133333333333334,1.0068793418154216,26.339427943394146
0.35,1,full_rules_continuous,300,5.9913068482467855,5.867826385037702,10.682227930750972,3.0946919066502,8.103469016863006,1.46,1.0057618801678063,26.339427943394146
0.35,2,fifo_mixed_window,300,5.083953710239328,5.1421454133683255,9.366976786915075,1.6421920995886423,4.2156037245894495,1.9533333333333334,1.04983489811068,27.645464502086003
0.35,2,lane_split_window,300,5.122173531115226,4.951772815720524,9.817024390329042,2.2570314850129556,5.632372674550521,1.88,1.0344600162314672,23.623367979921145
0.35,2,length_similarity_window,300,5.253016556740241,4.908971780286194,10.002927134957737,2.5168048817088233,5.879634141115869,1.4466666666666668,1.008154256828595,23.656440478069943
0.35,2,full_rules_continuous,300,5.319154983297567,5.052906985714817,10.20656160301699,2.672040605974384,6.191402441236237,1.44,1.0070683841414916,23.5002485877795
0.35,3,fifo_mixed_window,300,5.165166418666566,5.139087178469424,9.467698112721951,1.7284719223400953,4.864147231588447,2.06,1.0532801478237324,27.776774499930603
0.35,3,lane_split_window,300,5.118580911925106,4.594727668960182,9.459972459855312,2.1959068845242053,5.841158679537412,1.9133333333333333,1.0355961292797793,23.044610801022834
0.35,3,length_similarity_window,300,5.740401730896118,5.426457286570155,10.467054051259137,2.969420325544737,7.57543014362857,1.52,1.0081076232511603,22.308379930315976
0.35,3,full_rules_continuous,300,5.6906392159258985,5.197900000000004,10.551512219118173,2.9874871609453018,7.767841483567228,1.4933333333333334,1.0076052084564235,21.628674375874674
0.35,4,fifo_mixed_window,300,6.239311907565428,6.21599530650677,10.192401403681053,2.058008132122615,4.956845165744427,2.2933333333333334,1.0663998954474931,44.35099184060888
