mode,k,max_new_tokens,prompt_bucket,sample_idx,prompt_tokens,baseline_latency_s,spec_latency_s,speedup,alpha,draft_s,verify_s,other_s,draft_share,verify_share,other_share
Deterministic,8,12,short,2,10,0.276,0.6089,0.45327640006569225,0.1935483870967742,0.467514,0.132819,0.008567000000000019,0.7678009525373625,0.21812941369683034,0.014069633765807225
Deterministic,8,12,medium,1,40,0.2747,0.5919,0.46409866531508703,0.22580645161290322,0.471455,0.111386,0.00905899999999997,0.7965112350059133,0.18818381483358676,0.015304950160500035
Deterministic,8,12,medium,2,40,0.2776,0.3324,0.835138387484958,0.5294117647058824,0.25776,0.069978,0.004661999999999986,0.7754512635379062,0.21052346570397112,0.014025270758122701
Deterministic,8,12,long,1,284,0.2794,0.5513,0.5068021041175403,0.26666666666666666,0.453232,0.088985,0.009082999999999994,0.8221150009069472,0.16140939597315435,0.01647560311989841
Deterministic,8,12,long,2,284,0.277,0.4547,0.6091928744226963,0.375,0.379422,0.067362,0.007916000000000006,0.834444688805806,0.14814603034968113,0.01740928084451288
Deterministic,8,32,short,1,10,0.9802,1.2859,0.7622676724473131,0.30985915492957744,1.056076,0.213529,0.01629500000000003,0.8212738160043549,0.16605412551520335,0.012672058480441738
Deterministic,8,32,short,2,10,0.7296,1.6959,0.4302140456394835,0.1956521739130435,1.377441,0.298313,0.020146000000000053,0.8122182911728285,0.1759024706645439,0.011879238162627545
Deterministic,8,32,medium,1,40,0.7229,1.8067,0.40012176897105217,0.19,1.506748,0.279446,0.02050599999999997,0.833977970886146,0.15467205402114353,0.011349975092710449
Deterministic,8,32,medium,2,40,0.7275,1.8981,0.3832780148569623,0.18095238095238095,1.57859,0.298805,0.020704999999999973,0.8316685106158791,0.15742321268637058,0.01090827669775037
Deterministic,8,32,long,1,284,0.7411,1.541,0.4809214795587281,0.25301204819277107,1.262582,0.258136,0.020281999999999856,0.8193264114211551,0.16751200519143414,0.01316158338741068
Deterministic,8,32,long,2,284,0.7248,1.6928,0.4281663516068053,0.21052631578947367,1.400375,0.271246,0.02117900000000017,0.8272536625708884,0.16023511342155008,0.012511224007561536
